Feature Chunks,Mean Absolute Error,Median Absolute Error
0 - 53953,3.841076694099158,2.9618497660229792
53953 - 107906,3.788596217668836,3.028244048822451
107906 - 161859,3.683756117665409,2.7274956252940363
161859 - 215812,3.869648704322718,2.93960056605912
215812 - 269765,3.819047374128728,3.0588442190385763
269765 - 323718,3.665776624945072,2.907914990026885
323718 - 377671,3.7559729160715056,2.8351383123317504
377671 - 431624,3.9705001977581458,3.06771712681876
431624 - 485577,3.933478235057284,3.079599319280941
Final 500,2.932614293881598,2.320301802673015
