CpG Site,Pearson r,p-value
cg06493994,-0.11873918288393895,1.0691198221261525e-11
cg19226017,-0.39375636197819175,7.686328090293533e-122
cg09626984,-0.2128055066165696,2.0826942863521888e-29
cg07362058,0.6993026893714795,0.0
cg07044548,-0.25167369650512933,3.1981624288456497e-44
cg04308185,0.5053853727731463,6.74133705678677e-212
cg03524116,0.45793257070494736,1.304238622380892e-169
cg07785717,0.684808061381246,0.0
cg27365342,-0.001262496558858843,0.950360530804582
cg18425002,-0.41392843605708596,9.850828805989268e-136
cg19635754,-0.5214291210230653,5.969874393921058e-228
cg26662512,-0.17009358022221516,2.7684878949050657e-17
cg04194272,0.49870268004054913,1.2199847009788267e-205
cg23920389,-0.2536895383121827,2.7826685299487665e-49
cg20363699,-0.003371632730822971,0.8470319128982668
