CpG Site,Pearson r,p-value
cg16867657,0.6667975106572986,0.0
cg22454769,0.3625408001495267,8.015950179365382e-86
cg06639320,0.6993026893714795,0.0
cg14361627,0.8482662899123574,0.0
cg10501210,0.8242119215357753,0.0
cg08097417,0.829535013332886,0.0
cg21572722,0.061826669947569586,0.0061019906670092255
cg24079702,-0.44628402329626415,4.3506467010798294e-160
cg03032497,-0.6990415645116063,0.0
cg07553761,-0.7924757795311403,0.0
cg19283806,0.7331801811088667,0.0
cg23500537,0.9121623298178017,0.0
cg24724428,-0.6441518621788246,0.0
cg08384999,0.8469445579418463,0.0
cg09809672,0.861877907402981,0.0
cg09692396,0.8198111576797014,0.0
cg04295144,0.8021416640940233,0.0
cg06493994,0.8362394373561857,0.0
cg25410668,0.8290889930804224,0.0
cg22736354,0.703354068106686,0.0
